name	average	std	subject_1	subject_2	subject_3	subject_4	subject_5	subject_6	subject_7	subject_8	subject_9	subject_10	subject_11	subject_12	subject_13	subject_14	subject_15	subject_16	subject_17	subject_18	subject_19	subject_20	subject_21	subject_22	subject_23	subject_24	subject_25	subject_26	subject_27	subject_28	subject_29	subject_30	subject_31	subject_32	subject_33	
Michael Jordan	3.61	1.23	3.0	5.0	2.0	3.0	5.0	5.0	2.0	4.0	4.0	5.0	4.0	2.0	5.0	4.0	4.0	3.0	3.0	5.0	2.0	5.0	2.0	4.0	5.0	2.0	2.0	2.0	4.0	5.0	4.0	1.0	4.0	5.0	4.0	
Brad Pitt	3.64	1.01	4.0	4.0	2.0	4.0	5.0	5.0	3.0	5.0	4.0	5.0	4.0	3.0	3.0	4.0	3.0	4.0	3.0	4.0	4.0	5.0	3.0	4.0	4.0	2.0	4.0	2.0	5.0	4.0	4.0	1.0	2.0	3.0	4.0	
Agatha Christie	3.39	1.07	5.0	2.0	2.0	4.0	5.0	5.0	3.0	4.0	2.0	3.0	3.0	4.0	3.0	2.0	2.0	4.0	5.0	3.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	3.0	2.0	1.0	4.0	3.0	3.0	
Austria	3.18	1.19	2.0	2.0	3.0	4.0	5.0	5.0	3.0	5.0	4.0	4.0	4.0	1.0	3.0	4.0	3.0	2.0	3.0	1.0	4.0	1.0	3.0	4.0	4.0	3.0	5.0	3.0	5.0	2.0	2.0	2.0	2.0	3.0	4.0	
Sahara	3.09	1.16	2.0	2.0	2.0	3.0	5.0	5.0	3.0	5.0	1.0	4.0	4.0	1.0	3.0	1.0	2.0	4.0	3.0	2.0	4.0	4.0	3.0	4.0	4.0	3.0	3.0	3.0	5.0	4.0	2.0	2.0	2.0	3.0	4.0	
Mare Rosso	3.09	1.11	2.0	2.0	2.0	3.0	5.0	5.0	3.0	3.0	2.0	4.0	3.0	1.0	3.0	2.0	2.0	4.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	5.0	5.0	2.0	2.0	2.0	5.0	5.0	
Baia di Hudson	2.06	0.95	1.0	1.0	2.0	3.0	4.0	4.0	3.0	1.0	2.0	4.0	2.0	1.0	1.0	2.0	2.0	3.0	2.0	1.0	2.0	3.0	2.0	3.0	1.0	2.0	1.0	2.0	3.0	1.0	1.0	1.0	2.0	3.0	2.0	
Mare del Nord	2.85	1.13	1.0	2.0	2.0	4.0	5.0	5.0	3.0	4.0	2.0	4.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	2.0	3.0	3.0	3.0	4.0	1.0	3.0	5.0	3.0	5.0	2.0	2.0	2.0	2.0	4.0	2.0	
Taj Mahal	3.03	1.19	1.0	2.0	1.0	3.0	4.0	4.0	3.0	4.0	2.0	5.0	3.0	2.0	4.0	2.0	2.0	4.0	3.0	2.0	2.0	4.0	4.0	4.0	3.0	3.0	5.0	3.0	5.0	5.0	2.0	2.0	2.0	1.0	4.0	
Ayers Rock	2.06	1.28	1.0	1.0	1.0	2.0	4.0	4.0	4.0	2.0	2.0	3.0	4.0	1.0	1.0	2.0	1.0	4.0	1.0	1.0	3.0	1.0	2.0	1.0	4.0	1.0	1.0	1.0	3.0	5.0	1.0	1.0	3.0	1.0	1.0	
