name	trigger	average	std	subject_1	subject_2	subject_3	subject_4	subject_5	subject_6	subject_7	subject_8	subject_9	subject_10	subject_11	subject_12	subject_13	subject_14	subject_15	subject_16	subject_17	subject_18	subject_19	subject_20	subject_21	subject_22	subject_23	subject_24	subject_25	subject_26	subject_27	subject_28	subject_29	subject_30	subject_31	subject_32	subject_33	
Madonna	21	3.7	1.09	3.0	2.0	2.0	4.0	5.0	5.0	3.0	5.0	5.0	4.0	4.0	4.0	3.0	5.0	2.0	4.0	3.0	5.0	3.0	5.0	4.0	4.0	4.0	3.0	4.0	3.0	5.0	5.0	2.0	2.0	2.0	3.0	5.0	
Woody Allen	44	3.88	1.01	4.0	3.0	2.0	5.0	5.0	5.0	3.0	5.0	4.0	5.0	5.0	4.0	3.0	4.0	3.0	5.0	5.0	5.0	3.0	5.0	4.0	4.0	4.0	2.0	4.0	2.0	5.0	4.0	3.0	2.0	4.0	4.0	3.0	
Quentin Tarantino	46	4.09	0.75	4.0	3.0	2.0	4.0	5.0	5.0	4.0	4.0	4.0	5.0	5.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	3.0	5.0	4.0	4.0	5.0	3.0	4.0	3.0	5.0	5.0	5.0	3.0	4.0	4.0	4.0	
J.K. Rowling	11	3.88	1.04	5.0	2.0	2.0	4.0	5.0	5.0	3.0	5.0	4.0	5.0	5.0	3.0	4.0	4.0	5.0	5.0	4.0	3.0	3.0	5.0	4.0	4.0	5.0	3.0	3.0	3.0	5.0	4.0	3.0	1.0	4.0	4.0	4.0	
William Shakespeare	14	3.79	0.98	4.0	3.0	2.0	4.0	5.0	5.0	4.0	5.0	2.0	5.0	4.0	4.0	4.0	2.0	3.0	5.0	4.0	4.0	3.0	5.0	4.0	4.0	3.0	4.0	5.0	4.0	5.0	5.0	2.0	3.0	3.0	3.0	3.0	
Israele	51	3.94	0.98	4.0	2.0	2.0	3.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	3.0	4.0	5.0	4.0	4.0	3.0	3.0	3.0	4.0	4.0	4.0	5.0	3.0	5.0	3.0	5.0	4.0	3.0	2.0	4.0	5.0	5.0	
New York	61	4.09	0.96	2.0	2.0	3.0	4.0	5.0	5.0	4.0	5.0	5.0	4.0	5.0	4.0	4.0	5.0	3.0	4.0	4.0	5.0	3.0	5.0	4.0	4.0	5.0	4.0	5.0	4.0	5.0	5.0	3.0	2.0	3.0	5.0	5.0	
Spagna	59	4.09	0.83	2.0	3.0	4.0	5.0	5.0	5.0	4.0	5.0	5.0	4.0	4.0	4.0	3.0	5.0	3.0	4.0	3.0	4.0	3.0	5.0	4.0	4.0	5.0	4.0	5.0	4.0	5.0	5.0	3.0	3.0	4.0	4.0	5.0	
Amsterdam	67	3.73	0.96	3.0	2.0	2.0	4.0	5.0	5.0	3.0	5.0	2.0	4.0	3.0	3.0	4.0	2.0	3.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	5.0	4.0	5.0	4.0	5.0	5.0	3.0	3.0	4.0	3.0	3.0	
Mar Mediterraneo	83	4.3	0.72	4.0	4.0	2.0	4.0	5.0	5.0	4.0	5.0	4.0	5.0	5.0	4.0	5.0	4.0	5.0	4.0	4.0	5.0	4.0	4.0	4.0	5.0	5.0	4.0	5.0	4.0	5.0	5.0	4.0	3.0	3.0	5.0	4.0	
Parigi	62	4.12	0.88	4.0	2.0	2.0	3.0	5.0	5.0	4.0	5.0	4.0	5.0	4.0	4.0	5.0	4.0	3.0	4.0	4.0	5.0	4.0	5.0	4.0	4.0	5.0	4.0	5.0	4.0	5.0	5.0	3.0	3.0	3.0	5.0	5.0	
Stonehenge	95	3.61	1.13	5.0	2.0	2.0	2.0	5.0	5.0	2.0	5.0	3.0	4.0	4.0	3.0	4.0	3.0	2.0	3.0	3.0	2.0	4.0	5.0	4.0	4.0	4.0	5.0	3.0	5.0	5.0	5.0	2.0	4.0	2.0	4.0	4.0	
Sagrada Familia	99	3.42	1.16	5.0	3.0	2.0	4.0	5.0	5.0	4.0	1.0	3.0	5.0	2.0	2.0	3.0	3.0	2.0	3.0	3.0	4.0	2.0	5.0	4.0	4.0	5.0	3.0	5.0	3.0	5.0	4.0	2.0	3.0	4.0	3.0	2.0	
Germania	54	3.94	0.81	4.0	3.0	2.0	3.0	5.0	5.0	4.0	5.0	4.0	5.0	5.0	3.0	3.0	4.0	4.0	5.0	3.0	4.0	3.0	5.0	4.0	4.0	4.0	3.0	4.0	3.0	5.0	5.0	4.0	4.0	3.0	4.0	4.0	
Torre di Pisa	98	3.88	0.91	4.0	3.0	2.0	4.0	5.0	5.0	4.0	5.0	4.0	5.0	4.0	2.0	5.0	4.0	3.0	5.0	3.0	5.0	2.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	3.0	3.0	3.0	4.0	3.0	
Regno Unito	56	3.94	0.89	5.0	4.0	2.0	3.0	5.0	5.0	4.0	5.0	4.0	5.0	5.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	5.0	4.0	4.0	5.0	3.0	4.0	3.0	5.0	5.0	3.0	3.0	3.0	5.0	4.0	
Roma	64	4.52	0.66	5.0	4.0	3.0	4.0	5.0	5.0	4.0	5.0	4.0	5.0	3.0	3.0	5.0	4.0	4.0	5.0	4.0	5.0	5.0	5.0	4.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	
Macchu Picchu	96	3.27	1.29	2.0	2.0	1.0	5.0	5.0	5.0	2.0	4.0	2.0	5.0	5.0	3.0	3.0	2.0	2.0	4.0	3.0	2.0	3.0	4.0	4.0	4.0	2.0	2.0	5.0	2.0	5.0	5.0	2.0	2.0	3.0	3.0	5.0	
Nilo	85	3.33	1.15	2.0	2.0	2.0	2.0	5.0	5.0	3.0	5.0	2.0	5.0	4.0	2.0	2.0	2.0	2.0	4.0	4.0	5.0	3.0	4.0	4.0	4.0	3.0	3.0	4.0	3.0	5.0	5.0	2.0	3.0	2.0	3.0	4.0	
Oceano Atlantico	90	3.48	1.21	1.0	2.0	2.0	2.0	5.0	5.0	3.0	5.0	3.0	5.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0	5.0	4.0	5.0	4.0	4.0	2.0	2.0	5.0	2.0	5.0	4.0	3.0	2.0	2.0	4.0	5.0	
Oceano Pacifico	81	3.27	1.19	1.0	2.0	2.0	2.0	5.0	5.0	3.0	5.0	3.0	5.0	4.0	4.0	3.0	3.0	2.0	3.0	3.0	5.0	3.0	4.0	4.0	4.0	2.0	2.0	5.0	2.0	5.0	4.0	2.0	2.0	2.0	4.0	3.0	
Marylin Monroe	45	4.0	1.1	4.0	4.0	2.0	5.0	5.0	5.0	5.0	5.0	2.0	4.0	2.0	5.0	5.0	2.0	4.0	5.0	5.0	4.0	5.0	5.0	2.0	4.0	3.0	3.0	5.0	3.0	5.0	3.0	4.0	5.0	4.0	5.0	3.0	
