name	average	std	subject_1	subject_2	subject_3	subject_4	subject_5	subject_6	subject_7	subject_8	subject_9	subject_10	subject_11	subject_12	subject_13	subject_14	subject_15	subject_16	subject_17	subject_18	subject_19	subject_20	subject_21	subject_22	subject_23	subject_24	subject_25	subject_26	subject_27	subject_28	subject_29	subject_30	subject_31	subject_32	subject_33	
Scarlett Johansson	5.87	1.73	7.0	7.0	7.0	7.0	4.0	4.0	7.0	7.0	6.0	1.0	7.0	5.0	7.0	5.0	6.0	6.0	7.0	7.0	7.0	3.0	6.0	6.0	7.0	7.0	4.0	7.0	1.0	7.0	7.0	7.0	
Hillary Clinton	6.03	1.4	7.0	7.0	4.0	7.0	7.0	6.0	7.0	7.0	5.0	1.0	7.0	5.0	4.0	7.0	4.0	6.0	7.0	6.0	7.0	5.0	7.0	5.0	7.0	5.0	6.0	7.0	7.0	7.0	7.0	7.0	
Sigmund Freud	5.87	1.71	7.0	6.0	3.0	7.0	7.0	6.0	7.0	7.0	6.0	6.0	5.0	7.0	7.0	7.0	3.0	7.0	7.0	2.0	6.0	7.0	7.0	2.0	4.0	7.0	7.0	7.0	2.0	6.0	7.0	7.0	
Robert De Niro	5.0	1.24	5.0	5.0	6.0	5.0	1.0	5.0	6.0	3.0	3.0	5.0	5.0	6.0	6.0	5.0	6.0	5.0	6.0	6.0	6.0	4.0	5.0	3.0	6.0	5.0	6.0	6.0	3.0	5.0	6.0	6.0	
Freddie Mercury	6.63	0.84	7.0	7.0	7.0	7.0	5.0	6.0	7.0	7.0	6.0	4.0	4.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	6.0	7.0	7.0	
Barack Obama	6.87	0.43	7.0	7.0	7.0	7.0	7.0	5.0	7.0	7.0	7.0	6.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	6.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	
Britney Spears	5.53	0.99	6.0	5.0	6.0	6.0	6.0	5.0	6.0	6.0	6.0	5.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	4.0	6.0	6.0	5.0	5.0	6.0	6.0	1.0	5.0	5.0	6.0	
J.K. Rowling	3.87	2.06	6.0	4.0	1.0	6.0	1.0	5.0	2.0	3.0	7.0	2.0	4.0	1.0	5.0	4.0	2.0	7.0	6.0	4.0	7.0	7.0	2.0	3.0	3.0	4.0	4.0	1.0	1.0	2.0	5.0	7.0	
Israele	3.97	1.66	2.0	7.0	1.0	5.0	5.0	3.0	4.0	2.0	4.0	4.0	2.0	6.0	3.0	6.0	5.0	4.0	6.0	6.0	4.0	4.0	1.0	1.0	4.0	3.0	3.0	3.0	7.0	5.0	5.0	4.0	
Muraglia Cinese	6.03	1.22	7.0	7.0	7.0	7.0	7.0	5.0	5.0	7.0	5.0	5.0	5.0	7.0	7.0	7.0	7.0	7.0	7.0	6.0	5.0	7.0	7.0	6.0	5.0	5.0	4.0	7.0	7.0	6.0	2.0	5.0	
New York	6.33	0.94	5.0	7.0	7.0	7.0	7.0	6.0	7.0	7.0	5.0	6.0	6.0	6.0	7.0	7.0	5.0	6.0	7.0	7.0	5.0	7.0	7.0	7.0	6.0	4.0	7.0	7.0	7.0	4.0	7.0	7.0	
Mar dei Caraibi	3.57	1.75	4.0	5.0	7.0	4.0	3.0	4.0	2.0	2.0	2.0	1.0	3.0	5.0	7.0	4.0	5.0	4.0	1.0	5.0	2.0	3.0	1.0	6.0	3.0	3.0	2.0	2.0	7.0	3.0	5.0	2.0	
Sud Africa	4.07	1.77	2.0	7.0	7.0	7.0	3.0	5.0	3.0	4.0	2.0	2.0	4.0	4.0	4.0	4.0	4.0	3.0	7.0	3.0	6.0	4.0	2.0	5.0	3.0	1.0	2.0	2.0	7.0	4.0	5.0	6.0	
Piramidi di Giza	5.13	1.93	2.0	6.0	7.0	7.0	7.0	7.0	3.0	7.0	4.0	1.0	6.0	7.0	7.0	4.0	6.0	7.0	1.0	5.0	5.0	2.0	7.0	4.0	6.0	5.0	3.0	6.0	7.0	6.0	3.0	6.0	
Rio De Janeiro	4.0	1.91	2.0	5.0	7.0	7.0	4.0	5.0	7.0	3.0	2.0	1.0	6.0	6.0	3.0	5.0	2.0	7.0	5.0	3.0	5.0	2.0	1.0	6.0	2.0	2.0	3.0	5.0	2.0	5.0	2.0	5.0	
Cascate del Niagara	5.1	1.94	3.0	7.0	7.0	7.0	3.0	3.0	6.0	4.0	2.0	7.0	6.0	7.0	7.0	7.0	2.0	7.0	6.0	5.0	5.0	5.0	7.0	7.0	2.0	2.0	5.0	6.0	7.0	5.0	1.0	5.0	
Macchu Picchu	4.03	1.78	3.0	5.0	7.0	5.0	7.0	5.0	3.0	3.0	2.0	1.0	2.0	7.0	5.0	3.0	6.0	6.0	3.0	2.0	6.0	3.0	2.0	3.0	1.0	4.0	4.0	7.0	4.0	4.0	3.0	5.0	
Canada	4.77	1.67	3.0	7.0	7.0	7.0	5.0	4.0	5.0	2.0	3.0	5.0	3.0	4.0	3.0	6.0	6.0	6.0	7.0	5.0	4.0	6.0	6.0	5.0	5.0	2.0	4.0	4.0	7.0	4.0	1.0	7.0	
Ernest Hemingway	3.73	1.81	6.0	5.0	2.0	7.0	4.0	2.0	6.0	3.0	3.0	2.0	3.0	3.0	2.0	7.0	2.0	3.0	3.0	2.0	3.0	4.0	3.0	5.0	1.0	5.0	7.0	7.0	1.0	3.0	5.0	3.0	
Bob Dylan	4.9	1.81	7.0	6.0	3.0	7.0	7.0	2.0	7.0	5.0	5.0	2.0	5.0	4.0	7.0	7.0	2.0	3.0	5.0	2.0	7.0	4.0	3.0	5.0	6.0	5.0	6.0	7.0	2.0	5.0	7.0	4.0	
Vladimir Putin	6.8	0.54	7.0	7.0	7.0	7.0	7.0	5.0	7.0	7.0	7.0	6.0	6.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	5.0	7.0	7.0	
Wolfgang Amadeus Mozart	5.3	1.79	6.0	7.0	7.0	7.0	4.0	1.0	7.0	4.0	3.0	3.0	2.0	6.0	5.0	6.0	7.0	6.0	7.0	6.0	6.0	7.0	7.0	7.0	5.0	7.0	3.0	4.0	7.0	5.0	5.0	2.0	
Silvio Berlusconi	6.73	0.93	7.0	7.0	7.0	7.0	7.0	2.0	7.0	7.0	7.0	6.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	6.0	7.0	6.0	
Woody Allen	5.5	1.61	7.0	7.0	7.0	7.0	4.0	5.0	7.0	7.0	4.0	3.0	3.0	7.0	5.0	6.0	7.0	5.0	4.0	6.0	7.0	7.0	6.0	4.0	4.0	5.0	7.0	7.0	1.0	5.0	7.0	4.0	
Quentin Tarantino	5.23	1.93	7.0	7.0	7.0	6.0	4.0	6.0	7.0	7.0	3.0	2.0	6.0	5.0	3.0	4.0	1.0	7.0	1.0	5.0	7.0	4.0	3.0	3.0	7.0	6.0	7.0	7.0	7.0	6.0	7.0	5.0	
William Shakespeare	4.47	2.08	4.0	5.0	2.0	7.0	3.0	3.0	7.0	5.0	2.0	2.0	4.0	6.0	2.0	5.0	1.0	7.0	7.0	6.0	7.0	7.0	7.0	3.0	4.0	2.0	6.0	7.0	1.0	4.0	6.0	2.0	
Spagna	5.53	1.54	4.0	7.0	7.0	7.0	7.0	7.0	2.0	7.0	4.0	6.0	5.0	6.0	7.0	5.0	7.0	6.0	7.0	7.0	3.0	7.0	5.0	3.0	5.0	3.0	4.0	5.0	7.0	5.0	4.0	7.0	
Amsterdam	5.67	1.47	5.0	7.0	7.0	5.0	5.0	7.0	3.0	7.0	6.0	6.0	6.0	5.0	7.0	7.0	6.0	6.0	4.0	6.0	2.0	7.0	3.0	7.0	7.0	6.0	7.0	5.0	7.0	4.0	3.0	7.0	
Mar Mediterraneo	6.2	0.98	5.0	7.0	7.0	7.0	6.0	7.0	7.0	5.0	5.0	5.0	6.0	7.0	6.0	7.0	7.0	7.0	4.0	7.0	7.0	7.0	4.0	6.0	7.0	5.0	6.0	7.0	7.0	5.0	6.0	7.0	
Parigi	6.43	1.02	6.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	5.0	3.0	7.0	6.0	7.0	7.0	7.0	7.0	7.0	6.0	4.0	7.0	7.0	7.0	7.0	7.0	7.0	5.0	7.0	5.0	6.0	7.0	
Stonehenge	5.83	1.63	6.0	7.0	7.0	7.0	7.0	4.0	5.0	7.0	6.0	3.0	1.0	6.0	7.0	7.0	7.0	7.0	7.0	4.0	5.0	4.0	7.0	7.0	7.0	6.0	5.0	7.0	7.0	6.0	2.0	7.0	
Sagrada Familia	5.53	1.63	6.0	7.0	7.0	7.0	7.0	6.0	7.0	7.0	5.0	6.0	2.0	6.0	7.0	7.0	7.0	7.0	2.0	7.0	5.0	7.0	4.0	3.0	5.0	3.0	3.0	4.0	7.0	5.0	5.0	5.0	
Germania	5.6	1.52	4.0	7.0	7.0	7.0	6.0	7.0	7.0	4.0	3.0	5.0	3.0	7.0	3.0	6.0	6.0	6.0	7.0	7.0	7.0	7.0	5.0	5.0	7.0	3.0	5.0	6.0	7.0	4.0	3.0	7.0	
Torre di Pisa	6.77	0.5	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	6.0	7.0	7.0	7.0	7.0	7.0	7.0	6.0	5.0	7.0	7.0	7.0	7.0	7.0	6.0	7.0	7.0	6.0	6.0	7.0	
Regno Unito	6.07	1.36	4.0	7.0	7.0	7.0	5.0	7.0	7.0	7.0	6.0	4.0	3.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	4.0	7.0	7.0	3.0	4.0	5.0	7.0	5.0	6.0	7.0	
Roma	6.3	1.07	6.0	7.0	7.0	7.0	3.0	7.0	7.0	5.0	5.0	6.0	7.0	7.0	7.0	7.0	4.0	7.0	7.0	7.0	5.0	7.0	5.0	7.0	7.0	6.0	6.0	7.0	7.0	5.0	7.0	7.0	
Oceano Atlantico	4.47	1.84	4.0	7.0	7.0	7.0	3.0	3.0	7.0	2.0	1.0	3.0	4.0	6.0	3.0	6.0	5.0	6.0	5.0	7.0	2.0	3.0	1.0	5.0	6.0	3.0	4.0	3.0	7.0	5.0	4.0	5.0	
Oceano Pacifico	3.97	1.91	2.0	7.0	5.0	7.0	2.0	2.0	2.0	2.0	1.0	1.0	4.0	5.0	3.0	6.0	5.0	6.0	5.0	7.0	2.0	4.0	1.0	5.0	6.0	3.0	4.0	3.0	7.0	5.0	3.0	4.0	
Nilo	4.87	1.69	5.0	7.0	7.0	7.0	3.0	3.0	7.0	2.0	2.0	4.0	5.0	6.0	4.0	6.0	6.0	6.0	6.0	7.0	3.0	4.0	1.0	5.0	6.0	4.0	5.0	3.0	7.0	5.0	4.0	6.0	
Madonna	5.73	1.41	7.0	7.0	7.0	7.0	4.0	6.0	7.0	7.0	4.0	3.0	4.0	7.0	5.0	6.0	7.0	5.0	5.0	6.0	7.0	7.0	6.0	5.0	4.0	6.0	7.0	7.0	2.0	6.0	7.0	4.0	
Marylin Monroe	5.43	1.8	7.0	7.0	7.0	6.0	4.0	6.0	7.0	7.0	3.0	2.0	6.0	6.0	3.0	4.0	1.0	7.0	2.0	6.0	7.0	4.0	4.0	4.0	7.0	6.0	7.0	7.0	7.0	6.0	7.0	6.0	
