name	trigger	average	std	subject_1	subject_2	subject_3	subject_4	subject_5	subject_6	subject_7	subject_8	subject_9	subject_10	subject_11	subject_12	subject_13	subject_14	subject_15	subject_16	subject_17	subject_18	subject_19	subject_20	subject_21	subject_22	subject_23	subject_24	subject_25	subject_26	subject_27	subject_28	subject_29	subject_30	subject_31	subject_32	subject_33	
Scarlett Johansson	107	4.06	0.81	5.0	5.0	4.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	4.0	4.0	5.0	5.0	4.0	3.0	3.0	4.0	4.0	5.0	2.0	4.0	4.0	3.0	3.0	3.0	5.0	3.0	4.0	3.0	4.0	4.0	4.0	
Hillary Clinton	102	3.88	0.98	4.0	5.0	4.0	4.0	5.0	5.0	4.0	5.0	4.0	5.0	5.0	2.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	5.0	3.0	4.0	4.0	3.0	2.0	3.0	5.0	4.0	3.0	2.0	5.0	5.0	5.0	
Sigmund Freud	103	4.03	0.9	4.0	3.0	3.0	5.0	5.0	5.0	5.0	5.0	2.0	4.0	3.0	5.0	5.0	2.0	3.0	5.0	4.0	3.0	4.0	5.0	3.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	3.0	5.0	4.0	5.0	4.0	
Robert De Niro	108	3.06	0.69	2.0	3.0	3.0	3.0	4.0	4.0	3.0	3.0	4.0	4.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	4.0	2.0	3.0	4.0	2.0	3.0	2.0	4.0	3.0	3.0	1.0	3.0	3.0	3.0	
Freddie Mercury	105	3.97	0.9	4.0	4.0	3.0	4.0	5.0	5.0	3.0	5.0	3.0	4.0	5.0	4.0	3.0	3.0	3.0	5.0	3.0	2.0	4.0	5.0	4.0	4.0	5.0	4.0	5.0	4.0	5.0	5.0	4.0	2.0	3.0	5.0	4.0	
Barack Obama	101	4.21	0.81	4.0	5.0	3.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	4.0	3.0	4.0	5.0	3.0	4.0	3.0	5.0	3.0	5.0	4.0	4.0	5.0	4.0	5.0	4.0	5.0	5.0	4.0	2.0	4.0	5.0	4.0	
Britney Spears	106	2.91	0.57	3.0	2.0	2.0	3.0	4.0	4.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0	4.0	3.0	2.0	2.0	3.0	3.0	3.0	
J.K. Rowling	104	3.88	1.04	5.0	2.0	2.0	4.0	5.0	5.0	3.0	5.0	4.0	5.0	5.0	3.0	4.0	4.0	5.0	5.0	4.0	3.0	3.0	5.0	4.0	4.0	5.0	3.0	3.0	3.0	5.0	4.0	3.0	1.0	4.0	4.0	4.0	
Israele	109	3.94	0.98	4.0	2.0	2.0	3.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	3.0	4.0	5.0	4.0	4.0	3.0	3.0	3.0	4.0	4.0	4.0	5.0	3.0	5.0	3.0	5.0	4.0	3.0	2.0	4.0	5.0	5.0	
Muraglia Cinese	115	3.3	1.06	2.0	2.0	2.0	3.0	5.0	5.0	3.0	5.0	2.0	4.0	3.0	3.0	4.0	1.0	2.0	4.0	3.0	3.0	3.0	4.0	4.0	4.0	3.0	3.0	5.0	3.0	5.0	3.0	3.0	2.0	3.0	3.0	5.0	
