entity	log_frequency
politico	12.473141212012507
Silvio Berlusconi	7.88570539124302
Barack Obama	10.564085714610725
Hillary Clinton	9.12543586488574
Vladimir Putin	9.137877200242468
scrittore	13.389487067048664
Sigmund Freud	8.92996487470684
J.K. Rowling	8.141481041457421
Ernest Hemingway	9.44643963445061
William Shakespeare	10.43878137346933
musicista	11.489431633554496
Freddie Mercury	6.954638864880987
Bob Dylan	9.94515718770752
Madonna	9.817003309314352
Wolfgang Amadeus Mozart	9.592263871501313
attore	12.85149122326501
Quentin Tarantino	7.8928255262511176
Scarlett Johansson	6.717804695023691
Marylin Monroe	8.542860938164814
Woody Allen	7.734996194022781
stato	13.75005962070168
Spagna	12.284809886067558
Israele	11.971033622802898
Germania	14.14065314147602
Regno Unito	13.496600597789088
città	13.931608619292836
Roma	11.884337285753508
Parigi	12.499514349414547
New York	13.623212601977375
Amsterdam	10.719405310263497
corso d'acqua	9.07211225269274
Mar Mediterraneo	9.246093541682
Oceano Atlantico	12.24284806369279
Nilo	9.627602289963859
Oceano Pacifico	12.311585149637171
monumento	11.316728082640626
Torre di Pisa	5.60947179518496
Stonehenge	7.560080465021827
Sagrada Familia	5.955837369464831
Macchu Picchu	6.309918278226516
