entity	avg_familiarity
Scarlett Johansson	4.06
Hillary Clinton	3.88
Ernest Hemingway	3.85
Bob Dylan	3.91
Sigmund Freud	4.03
Vladimir Putin	3.85
Freddie Mercury	3.97
Wolfgang Amadeus Mozart	3.67
Silvio Berlusconi	4.45
Barack Obama	4.21
Madonna	3.7
Woody Allen	3.88
Quentin Tarantino	4.09
J.K. Rowling	3.88
William Shakespeare	3.79
Israele	3.94
New York	4.09
Spagna	4.09
Amsterdam	3.73
Mar Mediterraneo	4.3
Parigi	4.12
Stonehenge	3.61
Sagrada Familia	3.42
Germania	3.94
Torre di Pisa	3.88
Regno Unito	3.94
Roma	4.52
Macchu Picchu	3.27
Nilo	3.33
Oceano Atlantico	3.48
Oceano Pacifico	3.27
Marylin Monroe	4.0
