entity	log_frequency
politico	10.845699410361682
Silvio Berlusconi	8.668711839055147
Barack Obama	7.216709486709457
Hillary Clinton	6.320768294250582
Vladimir Putin	6.6039438246004725
scrittore	10.603635172740818
Sigmund Freud	6.727431724850855
J.K. Rowling	6.131226489483141
Ernest Hemingway	6.115892125483034
William Shakespeare	8.611775833902186
musicista	10.382760587789011
Freddie Mercury	6.300785794663244
Bob Dylan	7.624130585661289
Madonna	10.61430273074948
Wolfgang Amadeus Mozart	8.436416881388949
attore	11.127424735781627
Quentin Tarantino	6.558197802812269
Scarlett Johansson	5.220355825078324
Marylin Monroe	6.6052979209482015
Woody Allen	6.703188113240863
stato	13.630966132427165
Spagna	10.956003545311264
Israele	9.63469265580283
Germania	12.855858150976186
Regno Unito	11.1069252136985
città	12.894548934440222
Roma	11.987394111175123
Parigi	11.303364254629285
New York	11.25972211093469
Amsterdam	9.040619097157967
corso d'acqua	8.168202930236053
Mar Mediterraneo	9.825850282808975
Oceano Atlantico	9.140561477368266
Nilo	8.35983738064003
Oceano Pacifico	9.468233115617211
monumento	9.812632434192041
Torre di Pisa	7.969357742016346
Stonehenge	5.66988092298052
Sagrada Familia	4.955827057601261
Macchu Picchu	5.043425116919247
