accuracies

overall	0.9653404131510038
person_musician	0.9546242774566474
person	0.9607129865405603
musician	0.9546242774566474
person_writer	0.9647990613083015
writer	0.9647990613083015
place_city	0.9765217391304348
place	0.9699658206675879
city	0.9765217391304348
place_body_of_water	0.9632203880683463
body_of_water	0.9632203880683463
person_actor	0.9537705865356834
actor	0.9537705865356834
person_politician	0.9698389458272328
politician	0.9698389458272328
place_country	0.9758254716981132
country	0.9758254716981132
place_monument	0.9644097222222222
monument	0.9644097222222222


response times

cat	raw_avg	raw_std	log_avg	log_std
person_musician	1.2035900069653311	0.8465959594364129	0.02541399359533308	0.5520735095366803
person	1.2080619933357661	0.8721407176660867	0.023645552835571636	0.5584849382707885
musician	1.2035900069653311	0.8465959594364129	0.02541399359533308	0.5520735095366803
person_writer	1.248420910706986	0.934427488873359	0.04977531771688594	0.565863658996908
writer	1.248420910706986	0.934427488873359	0.04977531771688594	0.565863658996908
place_city	1.2450001001159503	0.8635812218576469	0.05502978429168499	0.5585223347432567
place	1.2703451908806693	1.0550283519523567	0.06634806536366093	0.5619550130425199
city	1.2450001001159503	0.8635812218576469	0.05502978429168499	0.5585223347432567
place_body_of_water	1.2522612518968859	0.8736159168632734	0.06355656726728724	0.5531543113967933
('person_writer', 'city')	0.31494	0.87313	-0.77401	0.68731	0.93418	0.79067
('person_writer', 'place_body_of_water')	-0.35175	0.86314	-2.04007	0.32967	0.93	0.43482
('person_writer', 'body_of_water')	-0.35175	0.81718	-2.04007	0.31768	0.91708	0.42266
('person_writer', 'person_actor')	1.31616	0.5035	2.54296	0.24775	0.6263	0.35712
('person_writer', 'actor')	1.31616	0.45155	2.54296	0.20979	0.57572	0.30569
('person_writer', 'person_politician')	9.83883	0.002	9.38336	0.002	0.00764	0.0065
('person_writer', 'politician')	9.83883	0.002	9.38336	0.002	0.00764	0.0065
('person_writer', 'place_country')	-2.82008	0.15185	-2.05757	0.28172	0.23951	0.39184
('person_writer', 'country')	-2.82008	0.16783	-2.05757	0.31369	0.25424	0.42266
('person_writer', 'place_monument')	-4.02135	0.06194	-4.83168	0.02597	0.11508	0.0537
('person_writer', 'monument')	-4.02135	0.06394	-4.83168	0.01399	0.11508	0.03397
('writer', 'place_city')	0.31494	0.94505	-0.77401	0.66134	0.99037	0.76655
('writer', 'place')	-2.78224	0.24975	-3.85752	0.13786	0.34738	0.21972
('writer', 'city')	0.31494	0.83716	-0.77401	0.73127	0.92816	0.82877
('writer', 'place_body_of_water')	-0.35175	0.85914	-2.04007	0.36164	0.93	0.47291
('writer', 'body_of_water')	-0.35175	0.86314	-2.04007	0.31768	0.93	0.42266
('writer', 'person_actor')	1.31616	0.46753	2.54296	0.2038	0.59118	0.29982
('writer', 'actor')	1.31616	0.4995	2.54296	0.24975	0.6263	0.35712
('writer', 'person_politician')	9.83883	0.002	9.38336	0.002	0.00764	0.0065
('writer', 'politician')	9.83883	0.002	9.38336	0.002	0.00764	0.0065
('writer', 'place_country')	-2.82008	0.14386	-2.05757	0.31369	0.22927	0.42266
('writer', 'country')	-2.82008	0.16384	-2.05757	0.26773	0.25067	0.37929
('writer', 'place_monument')	-4.02135	0.02997	-4.83168	0.01798	0.06743	0.04106
('writer', 'monument')	-4.02135	0.05395	-4.83168	0.02198	0.1086	0.04873
('place_city', 'place')	-3.26019	0.20579	-2.6446	0.27772	0.29427	0.38983
('place_city', 'city')	0.0	0.93307	0.0	1.0	0.98455	1.0
('place_city', 'place_body_of_water')	-0.69448	0.73926	-1.2744	0.52348	0.87476	0.63546
('place_city', 'body_of_water')	-0.69448	0.74326	-1.2744	0.50949	0.87476	0.63358
('place_city', 'person_actor')	1.05373	0.57742	3.33574	0.07792	0.71246	0.13396
('place_city', 'actor')	1.05373	0.59341	3.33574	0.07393	0.72057	0.12853
('place_city', 'person_politician')	9.97774	0.002	10.26559	0.002	0.00764	0.0065
('place_city', 'politician')	9.97774	0.002	10.26559	0.002	0.00764	0.0065
('place_city', 'place_country')	-3.14117	0.10989	-1.30694	0.48751	0.18891	0.62158
('place_city', 'country')	-3.14117	0.12188	-1.30694	0.51349	0.20051	0.63358
('place_city', 'place_monument')	-4.48527	0.01998	-4.10193	0.04795	0.05181	0.08947
('place_city', 'monument')	-4.48527	0.02398	-4.10193	0.04396	0.05917	0.08303
('place', 'city')	3.26019	0.1998	2.6446	0.29171	0.29114	0.40208
('place', 'place_body_of_water')	2.32258	0.38561	0.65358	0.8012	0.50861	0.90135
('place', 'body_of_water')	2.32258	0.30569	0.65358	0.81518	0.4176	0.90379
('place', 'person_actor')	4.67166	0.06394	7.91772	0.004	0.11508	0.01248
('place', 'actor')	4.67166	0.04795	7.91772	0.00599	0.09782	0.01764
('place', 'person_politician')	16.15057	0.002	18.62237	0.002	0.00764	0.0065
('place', 'politician')	16.15057	0.002	18.62237	0.002	0.00764	0.0065
('place', 'place_country')	-2.18007	0.42158	0.55871	0.81319	0.54662	0.90379
('place', 'country')	-2.18007	0.35365	0.55871	0.82717	0.47883	0.91049
('place', 'place_monument')	-3.12709	0.20579	-3.83334	0.13187	0.29427	0.21464
('place', 'monument')	-3.12709	0.23377	-3.83334	0.10589	0.32813	0.17804
('city', 'place_body_of_water')	-0.69448	0.76923	-1.2744	0.5035	0.89841	0.63143
('city', 'body_of_water')	-0.69448	0.73327	-1.2744	0.5035	0.87476	0.63143
('city', 'person_actor')	1.05373	0.60539	3.33574	0.08591	0.72933	0.14605
('city', 'actor')	1.05373	0.59141	3.33574	0.11988	0.72057	0.19937
('city', 'person_politician')	9.97774	0.002	10.26559	0.002	0.00764	0.0065
('city', 'politician')	9.97774	0.002	10.26559	0.002	0.00764	0.0065
('city', 'place_country')	-3.14117	0.11588	-1.30694	0.52348	0.19484	0.63546
('city', 'country')	-3.14117	0.11588	-1.30694	0.52747	0.19484	0.63546
('city', 'place_monument')	-4.48527	0.01798	-4.10193	0.04995	0.04827	0.09208
('city', 'monument')	-4.48527	0.02597	-4.10193	0.03996	0.06114	0.07642
('place_body_of_water', 'body_of_water')	0.0	0.98102	0.0	0.97103	0.997	1.0
('place_body_of_water', 'person_actor')	1.71918	0.37562	4.6052	0.03397	0.50413	0.06578
('place_body_of_water', 'actor')	1.71918	0.44555	4.6052	0.02597	0.57286	0.0537
('place_body_of_water', 'person_politician')	10.64213	0.002	11.60791	0.002	0.00764	0.0065
('place_body_of_water', 'politician')	10.64213	0.002	11.60791	0.002	0.00764	0.0065
('place_body_of_water', 'place_country')	-2.61774	0.1958	-0.05701	0.98302	0.29085	1.0
('place_body_of_water', 'country')	-2.61774	0.1958	-0.05701	0.91309	0.29085	0.98382
('place_body_of_water', 'place_monument')	-3.81863	0.05994	-2.85683	0.15385	0.11464	0.23776
('place_body_of_water', 'monument')	-3.81863	0.05594	-2.85683	0.17582	0.11116	0.26374
('body_of_water', 'person_actor')	1.71918	0.41159	4.6052	0.01598	0.53823	0.03705
('body_of_water', 'actor')	1.71918	0.38561	4.6052	0.02997	0.50861	0.05955
('body_of_water', 'person_politician')	10.64213	0.002	11.60791	0.002	0.00764	0.0065
('body_of_water', 'politician')	10.64213	0.002	11.60791	0.002	0.00764	0.0065
('body_of_water', 'place_country')	-2.61774	0.20779	-0.05701	0.99101	0.29437	1.0
('body_of_water', 'country')	-2.61774	0.1978	-0.05701	0.97502	0.291	1.0
('body_of_water', 'place_monument')	-3.81863	0.06593	-2.85683	0.13786	0.11595	0.21972
('body_of_water', 'monument')	-3.81863	0.06593	-2.85683	0.13187	0.11595	0.21464
('person_actor', 'actor')	0.0	0.997	0.0	0.97702	0.997	1.0
('person_actor', 'person_politician')	8.49539	0.002	6.71849	0.002	0.00764	0.0065
('person_actor', 'politician')	8.49539	0.002	6.71849	0.002	0.00764	0.0065
('person_actor', 'place_country')	-3.87269	0.05794	-4.57528	0.02797	0.11222	0.05706
('person_actor', 'country')	-3.87269	0.06194	-4.57528	0.02398	0.11508	0.05167
('person_actor', 'place_monument')	-5.3355	0.01199	-7.34888	0.002	0.03527	0.0065
('person_actor', 'monument')	-5.3355	0.004	-7.34888	0.002	0.01359	0.0065
('actor', 'person_politician')	8.49539	0.002	6.71849	0.002	0.00764	0.0065
('actor', 'politician')	8.49539	0.002	6.71849	0.002	0.00764	0.0065
('actor', 'place_country')	-3.87269	0.03796	-4.57528	0.02398	0.08181	0.05167
('actor', 'country')	-3.87269	0.06394	-4.57528	0.03397	0.11508	0.06578
('actor', 'place_monument')	-5.3355	0.00999	-7.34888	0.002	0.03057	0.0065
('actor', 'monument')	-5.3355	0.00599	-7.34888	0.002	0.01911	0.0065
('person_politician', 'politician')	0.0	0.97502	0.0	0.97502	0.997	1.0
('person_politician', 'place_country')	-10.39696	0.002	-11.43983	0.002	0.00764	0.0065
('person_politician', 'country')	-10.39696	0.002	-11.43983	0.002	0.00764	0.0065
('person_politician', 'place_monument')	-13.85223	0.002	-14.33716	0.002	0.00764	0.0065
('person_politician', 'monument')	-13.85223	0.002	-14.33716	0.002	0.00764	0.0065
('politician', 'place_country')	-10.39696	0.002	-11.43983	0.002	0.00764	0.0065
('politician', 'country')	-10.39696	0.002	-11.43983	0.002	0.00764	0.0065
('politician', 'place_monument')	-13.85223	0.002	-14.33716	0.002	0.00764	0.0065
('politician', 'monument')	-13.85223	0.002	-14.33716	0.002	0.00764	0.0065
('place_country', 'country')	0.0	0.997	0.0	0.99301	0.997	1.0
('place_country', 'place_monument')	-0.4084	0.7992	-2.7467	0.14585	0.90576	0.22771
('place_country', 'monument')	-0.4084	0.82118	-2.7467	0.18781	0.91708	0.27898
('country', 'place_monument')	-0.4084	0.84515	-2.7467	0.17183	0.93	0.26029
('country', 'monument')	-0.4084	0.78521	-2.7467	0.16384	0.89883	0.25067
('place_monument', 'monument')	0.0	0.98102	0.0	0.999	0.997	1.0
